item_id,title,price,old_price,brand,category,href
188639494,Миша Gembird MUSW-4B-03-R Wireless Black+Red,229,159,Gembird,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/gembird_musw_4b_03_r/p188639494/
250432346,Миша Vinga MSG-200 USB Black,319,0,Vinga,Ігрові миші,https://rozetka.com.ua/ua/vinga_msg_200_black/p250432346/
19863235,Ігрова поверхня Esperanza Classic Control (EGP102K),111,70,Esperanza,Ігрові поверхні,https://hard.rozetka.com.ua/ua/esperanza_egp102k/p19863235/
82992891,Миша Rapoo N200 USB Black,299,0,Rapoo,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/rapoo_n200/p82992891/
330384229,Ігрова поверхня RZTK Khaki 600 x 300 x 3 мм,149,299,RZTK,Ігрові поверхні,https://hard.rozetka.com.ua/ua/rztk_gmkh_6030/p330384229/
275844213,Миша Marvo M399 RGB-LED USB Black,489,0,Marvo,Ігрові миші,https://rozetka.com.ua/ua/marvo_m399/p275844213/
329784043,Ігрова поверхня Cobra MP-102,129,149,Cobra,Ігрові поверхні,https://hard.rozetka.com.ua/ua/mp_102/p329784043/
359818056,Бездротова ігрова миша iMice G-1800 Silent мишка 2000dpi чорна,275,306,Imice,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/359818056/p359818056/
314979439,Миша XTRIKE ME GM-205 USB Black,240,249,XTRIKE ME,Ігрові миші,https://rozetka.com.ua/ua/xtrike-me-gm-205/p314979439/
126742725,Ігрова поверхня Cougar Control EX-L,499,649,Cougar,Ігрові поверхні,https://hard.rozetka.com.ua/ua/cougar_control_ex_l/p126742725/
294448803,Миша Canyon M-05 USB Dark Grey (CNE-CMS05DG),99,169,Canyon,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/canyon_cne_cms05dg/p294448803/
336826420,Миша Crown Micro CMM-511 USB Black (6941141603023),155,0,Crown Micro,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/crown-micro-6941141603023/p336826420/
348834894,Бездротова клавіатура з мишкою Bluetooth HOCO DI05 Чорна,1103,2121,Hoco,Комплект: клавіатура та миша,https://hard.rozetka.com.ua/ua/348834894/p348834894/
354340674,"Миша бездротова, безшумна ігрова Gamousе X8 з акумулятором і підсвічуванням.",899,999,Sundy,Ігрові миші,https://rozetka.com.ua/ua/354340674/p354340674/
275863723,Миша Gemix GM145 USB Black,89,97,Gemix,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/gemix_gm145bk/p275863723/
265391191,Миша Ergo NL-760 USB Black,139,199,Ergo,Ігрові миші,https://rozetka.com.ua/ua/ergo_nl_760/p265391191/
323167171,Мишка Logitech MX Master 3 Mouse Advanced Graphite (910-005694),4799,0,Logitech,Ігрові миші,https://rozetka.com.ua/ua/323167171/p323167171/
31543023,Миша SPEEDLINK Kappa Wireless Black (SL-630011-BK),219,279,SPEEDLINK,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/speedlink_sl_630011_bk/p31543023/
305207668,Ігрова поверхня Lenovo Legion Gaming Control MousePad L Black (GXH1C97870),499,299,Lenovo,Ігрові поверхні,https://hard.rozetka.com.ua/ua/lenovo-gxh1c97870/p305207668/
349605675,"Клавіатура Ergo KB-910, Black (KB-910)",966,0,Ergo,Клавіатури,https://hard.rozetka.com.ua/ua/349605675/p349605675/
353568105,Набір гумових накладок Xtrfy для M42 Lizard skin White (LS-M42-WHITE),789,0,Xtrfy,Аксесуари для клавіатур і мишок,https://rozetka.com.ua/ua/xtrfy_ls_m42_white/p353568105/
15954627,Миша Defender Datum MM-035 Wireless Black (52035),239,0,Defender,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/defender_52035/p15954627/
318589612,Миша A4Tech W70 Max Bloody USB Black W70 Max Bloody (Stone black),1111,0,A4Tech,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/318589612/p318589612/
358652970,"Бездротова мишка, 2.4ГГц та Bluetooth, АКБ підсвічування, iMice E-1300, сіра",577,612,Imice,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/358652970/p358652970/
326393005,"Клавіатура Hator Starfall (Red Outemu Switches), Black (HTK-608)",1492,0,Hator,Клавіатури,https://hard.rozetka.com.ua/ua/326393005/p326393005/
356012913,Клавіатура Ergo KB-620 Black (KB-620),221,0,Ergo,Клавіатури,https://hard.rozetka.com.ua/ua/356012913/p356012913/
18132270,Ігрова поверхня Acme Cloth (4770070869222),119,89,Acme,Ігрові поверхні,https://hard.rozetka.com.ua/ua/acme_4770070869222/p18132270/
356191674,Фетровий килимок ZH44 для робочого столу 110х60 см чорний,970,1050,Без бренда,Ігрові поверхні,https://hard.rozetka.com.ua/ua/356191674/p356191674/
346288795,Підставка для клавіатури Glorious Wooden keyboard Wrist Rest (GV-87-BROWN),1299,0,Glorious,Аксесуари для клавіатур і мишок,https://rozetka.com.ua/ua/glorious-gv-87-brown/p346288795/
332234806,Миша Logitech Wireless M187 Mini Black (910-002731),877,984,Logitech,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/332234806/p332234806/
103755618,Миша 2E MF140 USB Black (2E-MF140UB),91,79,2E,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/2e_mf140ub/p103755618/
303521053,Комплект дротовий Maxxter USB Black (KMS-CM-02-UA),329,329,Maxxter,Комплект: клавіатура та миша,https://hard.rozetka.com.ua/ua/maxxter-kms-cm-02-ua/p303521053/
306637923,"Миша ігрова провідна ONIKUMA Gaming CW905, рожева",700,772,Onikuma,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/306637923/p306637923/
281406988,Мишка Logitech Wireless Mouse M705 Marathon Brown Box (910-006034),1599,0,Logitech,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/281406988/p281406988/
280243223,Клавіатура провідна KEYBOARD LED M200 Чорна ігрова для ПК та ноутбука з підсвічуванням,553,679,,Ігрові клавіатури,https://rozetka.com.ua/ua/280243223/p280243223/
360714321,Комп'ютерна миша Razer Basilisk X Hyperspeed (RZ01-03150100-R3G1),2550,0,Razer,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/360714321/p360714321/
324361015,Миша Razer Deathadder V2 Mini + Mouse Grip Tapes USB Black RZ01-03340100-R3M1,1666,0,Razer,Ігрові миші,https://rozetka.com.ua/ua/324361015/p324361015/
348671886,Ігрова поверхня Hator Tonn EVO M (HTP-021),499,0,Hator,Ігрові поверхні,https://hard.rozetka.com.ua/ua/348671886/p348671886/
335014882,"Миша ігрова комп'ютерна XTRIKE ME Gaming Backlight GM-414 з RGB підсвічуванням, провідна (GM-414)",559,0,XTRIKE ME,Ігрові миші,https://rozetka.com.ua/ua/335014882/p335014882/
70730936,Миша Piko FX71 USB Black (1283126489518),299,299,Piko,Ігрові миші,https://rozetka.com.ua/ua/piko_fx71_1283126489518/p70730936/
330043993,Миша Acer OMW020 USB Black (ZL.MCEEE.004),229,0,Acer,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/acer-zlmceee004/p330043993/
346498080,Ігрова поверхня Тризуб,210,0,,Ігрові поверхні,https://hard.rozetka.com.ua/ua/346498080/p346498080/
319890466,Миша A4Tech A70A Bloody Crackle USB Black A70A Bloody (Crackle),889,0,A4Tech,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/319890466/p319890466/
219298741,Килимок для миші Коргі (Corgi) (25108-1227) 22 * 18 см,175,0,MobiPrint,Ігрові поверхні,https://hard.rozetka.com.ua/ua/219298741/p219298741/
329786161,Ігрова поверхня Cobra MP-104,85,99,Cobra,Ігрові поверхні,https://hard.rozetka.com.ua/ua/mp_104/p329786161/
287672833,Миша Frime Invader USB Black (FMC2010),349,0,Frime,Ігрові миші,https://rozetka.com.ua/ua/frime_fmc2010/p287672833/
230550829,Ігровий килимок для миші з підсвічуванням LED PAD World XL 80х30 см (MP-19198),729,800,,Ігрові поверхні,https://hard.rozetka.com.ua/ua/230550829/p230550829/
346864002,Килимок для комп'ютерної миші FORTNITE F-700-1 ігрова поверхня для ноутбука та комп'ютера розміри 70 x 30 x 0.3 см (49347),250,400,Fortnite,Ігрові поверхні,https://hard.rozetka.com.ua/ua/346864002/p346864002/
33791039,Клавіатура дротова Trust Xalas USB (TR22221),330,330,Trust,Клавіатури,https://hard.rozetka.com.ua/ua/trust_22221/p33791039/
349453833,Миша 2E GAMING M280 LED USB White (2E-MG280UWT),299,0,2E Gaming,Ігрові миші,https://rozetka.com.ua/ua/2e-gaming-2e-mg280uwt/p349453833/
24562488,Миша Trust GXT 108 Rava USB Black (TR22090),399,499,Trust,Ігрові миші,https://rozetka.com.ua/ua/trust_rava_22090/p24562488/
343267489,Клавіатура Vinga KBGM-110 87 key LED Blue Switch USB Black (KBGM-110 Black),1119,1175,Vinga,Клавіатури,https://hard.rozetka.com.ua/ua/343267489/p343267489/
307597863,Миша Vertux Dominator USB Black (dominator.black),649,649,Vertux,Ігрові миші,https://rozetka.com.ua/ua/vertux-dominatorblack/p307597863/
338653756,Миша Cougar Minos XT USB Pink (Minos XT Pink),960,1065,Cougar,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/338653756/p338653756/
283099253,Ігрова поверхня WorkPlaceShop КОТИ КОСМОНАВТИ 300х800 мм,552,500,WorkPlaceShop,Ігрові поверхні,https://hard.rozetka.com.ua/ua/283099253/p283099253/
356533743,USB Миша Logitech G407 Чорна,799,0,Logitech,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/356533743/p356533743/
242126479,Миша Motospeed V100 RGB USB Black (mtv100),839,1199,Motospeed,Ігрові миші,https://rozetka.com.ua/ua/motospeed_mtv100/p242126479/
338659126,Миша 2E Gaming MG340 WL Black (2E-MG340UB-WL),1506,1566,2E,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/338659126/p338659126/
40636424,Миша Gembird MUSG-301 USB Black (MUSG-301),479,0,Gembird,Ігрові миші,https://rozetka.com.ua/ua/gembird_musg_301/p40636424/
335901322,Миша Logitech G502 HERO KDA Gaming Mouse USB,3699,3899,Logitech,Ігрові миші,https://rozetka.com.ua/ua/335901322/p335901322/
97940062,Ігрова поверхня Frime SpeedPad XL (GPF-SP-XL-01),249,249,Frime,Ігрові поверхні,https://hard.rozetka.com.ua/ua/frime_gpf_sp_xl_01/p97940062/
332912287,Миша Redragon Nemeanlion 2 USB Black (74511),499,605,Redragon,Ігрові миші,https://rozetka.com.ua/ua/redragon-74511/p332912287/
340154164,Миша Gembird MUSWB2 Bluetooth Black,479,479,Gembird,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/gembird-muswb2/p340154164/
12310362,Миша Real-El RM-290 USB Black,179,135,Real-El,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/real_el_rm_290_black/p12310362/
346969980,Наклейка на клавіатуру SampleZone SZ-BK-RS (непрозора УКР/РОС/АНГЛ чорна біло-жовтогаряча)СЕКТ SECTOR,209,217,Sector,Аксесуари для клавіатур і мишок,https://rozetka.com.ua/ua/346969980/p346969980/
353568084,Клавіатура бездротова Apple Magic Keyboard з Touch ID і цифровою панеллю Bluetooth UA Black (MMMR3UA/A),10099,10099,Apple,Клавіатури,https://hard.rozetka.com.ua/ua/apple-mmmr3ua-a/p353568084/
328757125,Клавіатура ERGO KB-955 RGB (6678962),1279,0,Ergo,Клавіатури,https://hard.rozetka.com.ua/ua/328757125/p328757125/
23596293,Ігрова поверхня Gembird MP-GAMEPRO Control (MP-GAMEPRO-L),249,179,Gembird,Ігрові поверхні,https://hard.rozetka.com.ua/ua/gembird_mp_gamepro_l/p23596293/
211932,Комплект бездротовий A4Tech 3100N Вlack (4711421876384),859,859,A4Tech,Комплект: клавіатура та миша,https://hard.rozetka.com.ua/ua/a4_tech_3100_n/p211932/
360427719,Клавіатура Razer BlackWidow V3 TKL RU (RZ03-03490700-R3R1) USB (RZ03-03490700-R3R1),4465,0,Razer,Клавіатури,https://hard.rozetka.com.ua/ua/360427719/p360427719/
350427096,"Бездротова комп'ютерна миша Veron WR10 (2.4 ГГц, 1600 dpi, оптична, 10м) - Чорний",199,390,Veron,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/350427096/p350427096/
350059398,Провідна ігрова клавіатура з 3-я підсвічуваннями і мишкою RAZER V-100 Комплект,870,1150,Razer,Клавіатури,https://hard.rozetka.com.ua/ua/350059398/p350059398/
256705161,Глайди для миші Razer DeathAdder Essential (FG-010),189,0,,Аксесуари для клавіатур і мишок,https://rozetka.com.ua/ua/256705161/p256705161/
220568449,Клавіатура REAL-EL Gaming 8710 TKL Backlit USB ігрова з підсвічуванням,652,763,Real-El,Клавіатури,https://hard.rozetka.com.ua/ua/220568449/p220568449/
123225735,Миша 2E MF170 USB Black (2E-MF170UB),99,119,2E,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/2e_2e_mf170ub/p123225735/
103090164,Клавіатура дротова Defender Mayhem GK-360DL USB RGB (45360),389,299,Defender,Ігрові клавіатури,https://rozetka.com.ua/ua/defender_45360/p103090164/
32899047,Миша Defender Bionic GM-250L USB Black (52250),269,269,Defender,Ігрові миші,https://rozetka.com.ua/ua/defender_52250/p32899047/
333415900,"Бездротова ігрова миша мишка тиха 2000dpi iMice G-1800, червона",380,0,Imice,Ігрові миші,https://rozetka.com.ua/ua/333415900/p333415900/
335953765,Клавіатура Vinga KBGM-100 LED Blue Switch USB Black (KBGM-100 Black),972,0,Vinga,Клавіатури,https://hard.rozetka.com.ua/ua/335953765/p335953765/
344520772,Professional gaming surface mouse pad прогумований геймерський килимок 40х90 см (15120-новий),675,825,Badin,Ігрові поверхні,https://hard.rozetka.com.ua/ua/344520772/p344520772/
313675090,Миша 2Е MF1100 USB Black (2E-MF1100UB),139,139,2E,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/2e_mf1100ub/p313675090/
316537303,Комплект ігрова клавіатура і миша Gaming Combo 2-in1 ONIKUMA G25 + CW905 RGB pink,1508,1539,Onikuma,Комплект: ігрові клавіатури і миші,https://rozetka.com.ua/ua/316537303/p316537303/
352347696,Миша Genius NX-8000 Silent Wireless Black (31030025400),468,0,Genius,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/genius-31030025400/p352347696/
357223497,Миша Logitech Lift for Mac Vertical Ergonomic Mouse Off White (910-006477),3359,0,Logitech,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/logitech-910-006477/p357223497/
312013208,Великий Комп'ютерний килимок для мишки Тропіки 900х400х2мм,690,0,,Ігрові поверхні,https://hard.rozetka.com.ua/ua/312013208/p312013208/
356964636,Ігровий килимок Rasure Flashy RGB Gaming Mouse Pad c підсвічуванням 350 x 250 мм,574,738,Rasure,Ігрові поверхні,https://hard.rozetka.com.ua/ua/356964636/p356964636/
334647142,Ігрова поверхня A4Tech FP25 Pink (4711421969345),169,169,A4Tech,Ігрові поверхні,https://hard.rozetka.com.ua/ua/a4tech-4711421969345/p334647142/
44139912,Миша Trust GXT 115 Macci Wireless Black (TR22417),399,549,Trust,Ігрові миші,https://rozetka.com.ua/ua/trust_22417/p44139912/
336509638,Клавіатура Rapoo E9500M Wireless Black,1602,0,Rapoo,Клавіатури,https://hard.rozetka.com.ua/ua/336509638/p336509638/
297277288,Силіконові кільця для механічних клавіатур O-rings Orange (KR-003),145,0,,Аксесуари для клавіатур і мишок,https://rozetka.com.ua/ua/297277288/p297277288/
257480141,Клавіатура дротова Gembird KB-UM-106-UA USB (EN/RU/UA) (871630923477),299,175,Gembird,Клавіатури,https://hard.rozetka.com.ua/ua/gembird_871630923477/p257480141/
301032183,Клавіатура бездротова Razer BlackWidow V3 Mini Hyperspeed Yellow Switch RU (RZ03-03890700-R3R1),4999,7799,Razer,Ігрові клавіатури,https://rozetka.com.ua/ua/razer_rz03_03890700_r3r/p301032183/
354797724,Клавіатура Genius SlimStar 126 USB Black Ukr (31310017407),510,561,Genius,Клавіатури,https://hard.rozetka.com.ua/ua/354797724/p354797724/
354953475,Клавіатура MSI VIGOR GK20 Black VIGOR_GK20_UA,936,1104,MSI,Клавіатури,https://hard.rozetka.com.ua/ua/354953475/p354953475/
310571143,"Комп'ютерна миша ігрова Inphic PW2H, сіра",425,0,Inphic,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/310571143/p310571143/
